system,precision@k,recall@k,nprecision@k,map@k,coverage@k,n_eval_sessions,avg_truth_size
popularity,0.05082644628099174,0.11672200905155451,0.11737258953168045,0.05390897612488522,0.22,968,2.1632231404958677
content_tfidf,0.04504132231404959,0.10368867243867243,0.10394283746556475,0.05108815426997245,0.84,968,2.1632231404958677
cf_als,0.04669421487603306,0.11248811163583891,0.1130681818181818,0.05490013774104683,1.0,968,2.1632231404958677
hybrid,0.04938016528925619,0.11765504066640431,0.1180785123966942,0.057437729568411394,1.0,968,2.1632231404958677
