session_idx,n_known,n_truth,prec@5_popularity,rec@5_popularity,prec@5_partial_cf,rec@5_partial_cf,prec@5_content_only,rec@5_content_only,prec@5_mixed,rec@5_mixed
618,2,7,0.2,0.14285714285714285,0.0,0.0,0.6,0.42857142857142855,0.6,0.42857142857142855
323,2,5,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0
1092,2,7,0.2,0.14285714285714285,0.4,0.2857142857142857,0.2,0.14285714285714285,0.2,0.14285714285714285
617,2,8,0.2,0.125,0.4,0.25,0.0,0.0,0.2,0.125
642,2,4,0.0,0.0,0.0,0.0,0.2,0.25,0.0,0.0
575,2,5,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0
71,2,4,0.0,0.0,0.2,0.25,0.0,0.0,0.0,0.0
593,2,8,0.2,0.125,0.0,0.0,0.0,0.0,0.2,0.125
219,2,5,0.2,0.2,0.4,0.4,0.0,0.0,0.2,0.2
941,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
764,2,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
485,2,9,0.4,0.2222222222222222,0.2,0.1111111111111111,0.0,0.0,0.0,0.0
643,2,7,0.0,0.0,0.4,0.2857142857142857,0.0,0.0,0.0,0.0
329,2,12,0.4,0.16666666666666666,0.0,0.0,0.6,0.25,0.2,0.08333333333333333
316,2,5,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0
709,2,3,0.2,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
154,2,7,0.2,0.14285714285714285,0.6,0.42857142857142855,0.0,0.0,0.0,0.0
296,2,6,0.0,0.0,0.2,0.16666666666666666,0.2,0.16666666666666666,0.0,0.0
216,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.25
998,2,13,0.6,0.23076923076923078,0.2,0.07692307692307693,0.4,0.15384615384615385,0.6,0.23076923076923078
1052,2,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
811,2,9,0.2,0.1111111111111111,0.2,0.1111111111111111,0.0,0.0,0.2,0.1111111111111111
742,2,8,0.0,0.0,0.2,0.125,0.2,0.125,0.2,0.125
477,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
399,2,6,0.2,0.16666666666666666,0.2,0.16666666666666666,0.0,0.0,0.0,0.0
146,2,10,0.4,0.2,0.4,0.2,0.4,0.2,0.2,0.1
344,2,7,0.2,0.14285714285714285,0.0,0.0,0.2,0.14285714285714285,0.2,0.14285714285714285
33,2,13,0.6,0.23076923076923078,0.6,0.23076923076923078,0.2,0.07692307692307693,0.6,0.23076923076923078
954,2,7,0.2,0.14285714285714285,0.6,0.42857142857142855,0.4,0.2857142857142857,0.2,0.14285714285714285
542,2,12,0.4,0.16666666666666666,0.4,0.16666666666666666,0.4,0.16666666666666666,0.4,0.16666666666666666
602,2,4,0.0,0.0,0.0,0.0,0.2,0.25,0.0,0.0
769,2,8,0.4,0.25,0.0,0.0,0.2,0.125,0.0,0.0
345,2,5,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2
251,2,9,0.0,0.0,0.0,0.0,0.2,0.1111111111111111,0.0,0.0
995,2,6,0.0,0.0,0.2,0.16666666666666666,0.0,0.0,0.0,0.0
503,2,3,0.0,0.0,0.2,0.3333333333333333,0.0,0.0,0.0,0.0
1093,2,6,0.2,0.16666666666666666,0.2,0.16666666666666666,0.0,0.0,0.0,0.0
621,2,8,0.0,0.0,0.0,0.0,0.2,0.125,0.0,0.0
825,2,7,0.0,0.0,0.2,0.14285714285714285,0.2,0.14285714285714285,0.2,0.14285714285714285
